no_opt,opt
8425,8347
8378,8233
8348,8263
8383,8267
8385,8303
8418,8303
8389,8271
8393,8283
8326,8277
9601,8221
8249,8777
8399,8272
8394,8292
8376,8279
8383,8256
8389,8267
8399,8253
8807,9831
8430,8266
8318,8265
8472,8250
8359,8275
8395,8301
8375,10808
8387,8535
8332,8289
8513,8320
8305,8243
8389,8340
8355,8241
8468,8356
8370,8229
8410,8398
8345,8297
8378,8346
8336,8260
8363,8440
8372,8243
8385,8277
8789,8233
8388,8411
9647,8266
8350,8290
8425,8272
8354,8248
8358,8363
8428,8266
8393,8492
8401,8265
8348,8439
9153,8257
9163,8364
8259,8256
8372,8294
8271,8277
8272,8276
8405,8291
8344,8249
8372,8294
8395,8258
8399,8342
8481,8271
8368,8249
8389,8284
8377,9245
8400,8283
8407,8304
8324,8255
8386,8301
8334,8250
8377,8307
8396,8261
8417,10458
8339,8308
8495,8304
8421,8252
8715,8253
8242,8254
8344,8347
8222,8256
8513,8235
8226,8236
8370,8277
8241,8233
8255,8321
8265,8228
8264,8313
9026,8223
8267,8237
8281,8269
8260,8244
8260,8299
8280,8238
8287,8215
8305,8276
8243,8259
8285,8262
9904,8518
8275,8320
8278,8318
8261,8287
8312,8363
8796,8287
8221,8281
9873,8297
8278,8267
8455,8252
8331,8304
8294,8268
8270,8254
8276,8264
8292,8263
8450,8318
8303,8226
8330,8320
8242,8236
8302,8305
8292,8261
8314,8325
8247,8266
8219,8255
8497,8265
8259,8274
8335,8230
8242,8305
8625,8246
8246,8301
8262,8251
8246,8268
8454,8221
8241,8279
8464,8220
8277,8318
8346,8276
8377,8319
8293,8250
8265,8276
8296,8238
8259,8301
8227,8257
8258,8239
8219,8291
8305,8273
8242,8304
8313,8304
8223,8403
8377,8255
8241,8300
8291,8239
8268,8418
8307,8243
8260,8261
8427,8245
8268,8230
8391,8291
8232,8220
8304,8278
8260,8298
8299,8235
8245,8367
9099,8240
8287,8418
8279,8305
8273,8636
8283,8821
8302,8517
8297,8358
8377,8319
8278,9169
8262,8307
8249,8436
8270,8245
8255,8365
8309,8281
8244,8292
8320,8235
8270,8270
8406,8277
8358,8323
8308,8237
8252,8607
8316,8224
8270,8264
8295,8247
8275,8240
8254,8274
8275,8387
8243,8307
8262,8242
8263,8226
8397,8269
8267,8265
8340,8271
8325,8273
8453,8258
8229,8427
8353,8246
8250,8260
8297,8247
8231,8324
8272,8254
8276,8239
8248,8303
8309,8231
8264,8296
8259,8260
8277,8237
8252,8294
8279,8229
8237,8327
8277,8237
8285,8310
8295,8273
8652,8253
8287,8298
8334,8264
8261,8337
8256,8262
8974,8276
8995,8295
8573,8386
8702,8269
9186,8274
8665,8269
8487,8261
8514,8240
8533,8628
8323,8328
8410,8258
8287,8283
8243,8245
8321,8264
8253,8294
8356,8245
8301,8301
8319,8302
8281,8231
8308,8317
8324,8249
8797,8293
8277,8251
8319,8273
8353,8279
8337,8290
8322,8240
8468,8289
8251,8250
8359,8298
8339,8243
8350,8268
8348,8266
8351,8259
8527,8264
8364,8324
9033,8230
8321,8716
8300,8335
8386,8369
8342,10700
8355,9270
8319,9028
8364,8476
8335,8692
8345,8454
8347,10105
8338,8641
8323,8642
8365,8573
8483,8525
8278,9195
8346,8301
8322,8267
8342,8260
8441,8302
8288,8279
8349,8250
8353,8340
8323,8239
8349,8356
8325,8270
8370,8389
8467,8228
8248,8359
8531,8232
8242,8326
8304,8260
8315,8281
8355,8262
8351,9545
8350,9357
8344,8435
8354,8340
8422,8249
8323,8287
8382,8239
8343,8380
8439,8241
8379,8259
8510,8318
8378,8282
8342,8286
8378,8303
8469,8322
8332,8271
9177,8306
8435,8321
8267,8419
8368,8257
8330,8267
8320,8302
8369,8289
8495,8353
8249,8412
8627,8271
8318,8250
8358,8297
8336,8330
8337,8399
8347,8355
8366,9427
8353,8269
8352,8289
8342,8370
8356,8312
8342,8315
8357,8271
8354,8449
8323,8317
8342,8637
8372,8289
8367,8397
8338,8226
8332,8311
8360,8337
11225,8335
8271,8378
8232,8401
8323,8272
8313,8338
8301,8323
8277,8277
8299,11663
8259,8302
8309,8294
8361,8254
9220,8250
8286,8321
8449,8252
8244,8351
8323,8258
8276,8337
8303,8290
8236,8465
8389,8306
8265,8392
8311,8253
8264,8300
8271,8268
8278,8282
8268,8302
8222,8267
8279,8319
8227,8259
8424,8261
8283,8345
8275,8259
8404,8292
8322,8257
8281,8242
8307,8290
8530,8253
8263,8283
9123,8289
8470,11023
