no_opt,opt
1103,905
1103,910
1143,991
1137,919
1106,904
1102,904
1095,899
1156,904
1102,929
1100,905
1102,906
1118,908
1122,923
1103,1093
1102,1773
1103,909
1128,901
1114,902
1101,927
1099,901
1101,901
1360,902
1547,904
1098,901
1106,913
1115,904
1104,900
1109,903
1104,899
1103,907
1175,1043
1103,1011
1102,942
1100,903
1104,902
1847,946
1235,903
1139,903
1110,900
1121,906
1103,927
1103,911
1100,899
1141,906
1139,906
1101,903
1115,1077
1150,910
1148,900
1234,903
1134,904
1089,913
1103,931
1118,918
1104,910
1105,907
1100,904
1130,930
1231,941
1201,904
1102,901
1106,906
1115,906
1105,964
1185,909
1239,901
1229,906
1148,900
1098,906
1139,930
1100,942
1093,917
1104,903
1134,902
1112,907
1106,922
1100,924
1152,915
1124,905
1107,928
1104,943
1105,910
1105,914
1141,902
1108,909
1101,909
1106,922
1106,919
1135,915
1106,905
1104,902
1131,918
1123,926
1101,909
1098,913
1102,903
1104,912
1110,920
1107,926
1104,911
1110,928
1127,947
1141,908
1111,903
1110,903
1119,935
1237,919
1172,920
1134,928
1101,920
1104,914
1152,900
1099,903
1097,902
1112,920
1098,961
1136,920
1110,902
1105,902
1128,905
1172,903
1128,908
1105,951
1098,926
1110,903
1129,901
1103,924
1102,922
1105,901
1106,901
1120,914
1113,923
1104,936
1104,939
1166,906
1112,901
1105,905
1122,923
1096,940
1134,913
1110,901
1106,906
1100,902
1104,915
1139,956
1099,922
1097,905
1105,904
1117,902
1172,946
1102,944
1102,909
1102,902
1100,905
1151,909
1113,934
1106,901
1102,906
1101,903
1208,927
1099,910
1106,907
1107,919
1258,921
1172,914
1144,903
1359,950
1100,924
1106,900
1120,906
1108,903
1101,924
1129,926
1159,921
1233,911
1192,904
1136,916
1104,931
1099,913
1108,903
1119,913
1103,927
1102,918
1104,1001
1120,901
1108,901
1104,901
1102,903
1101,937
1125,905
1133,919
1130,913
1105,907
1111,911
1121,923
1226,913
1142,901
1197,924
1236,912
1097,920
1108,955
1100,900
1104,921
1117,916
1102,920
1212,901
1171,912
1103,949
1162,911
1102,905
1107,939
1104,911
1121,901
1105,918
1111,926
1102,906
1102,924
1125,915
1099,942
1296,907
