no_opt,opt
8715,8917
8879,8831
8817,8907
8834,8869
8891,8896
8880,8865
8924,8851
8847,8832
8966,8838
8881,8904
9007,8855
8965,8867
8916,8864
8980,8808
8954,9032
8964,8855
8991,8943
9172,8879
8994,8876
9018,8895
8927,8922
8994,8902
9011,8865
8947,8907
9000,8862
8973,8907
8989,8863
9034,8927
9036,8825
8971,10190
8998,8910
9046,8830
8984,8948
10051,8892
8898,8902
9024,8855
9032,8870
9006,8913
9171,8878
9051,8897
9067,8897
9038,8928
9816,8874
9265,8968
8924,8842
9032,8993
9052,9122
9038,8906
9019,9002
9042,8940
9009,8903
9023,8853
9002,8901
9018,8949
9056,8893
9031,8983
9001,8807
9057,8901
9022,8882
9039,9007
8999,8852
9152,8916
8958,8934
9103,8863
9088,8893
9043,8868
9187,8936
8918,8870
9028,8996
9002,8840
9051,8996
9032,8826
9061,8918
9234,8912
9065,8882
9116,8947
9017,8945
9049,8917
9057,8856
9015,8901
9175,8892
9007,8879
9133,8934
9023,8878
9023,8974
9066,8866
9022,8879
9090,8878
8996,8870
9025,8923
8996,8889
10082,9156
9054,8869
9049,8888
9107,8881
9024,8931
9134,8853
9014,8937
9068,8928
9043,8884
9048,9095
9095,8871
9027,8947
9081,8860
9082,8882
9105,8919
9034,8937
9076,8948
9066,8853
9015,9954
9043,8848
9018,9014
9207,8895
9008,8921
9038,8896
9040,8910
9153,8897
9096,8941
9025,8939
9121,8888
9062,8990
9023,8861
9022,9859
9025,9170
9078,8755
9024,8683
8990,8722
9083,9895
9053,8731
9035,8775
9103,8837
9041,8708
9056,8768
9056,8720
9067,8817
9054,8744
9060,8721
9075,8688
9071,8726
9028,8712
9070,8727
9022,9759
9480,8706
8873,8670
10086,8709
8706,8684
8750,8708
8846,8853
9560,8720
8963,8967
8901,8705
8990,8715
10334,8714
8985,8702
11180,8736
9132,8677
9073,8740
9045,8677
9043,8743
9097,8736
9102,8739
9040,8884
9719,8806
9037,8698
9070,8763
9259,8721
9065,8729
9089,8786
9046,8712
9105,9208
9082,8856
9095,8832
9076,8734
9092,8689
9086,8727
9787,8707
9062,8733
9163,8713
9193,8726
10523,8738
9069,8838
9059,8795
9145,8673
9047,8895
9192,8681
9143,8746
9066,8714
9244,8734
9104,8702
9699,8735
9399,8718
8882,8719
8879,8763
8721,8725
8717,8748
8765,8689
8692,8723
8737,8694
8836,8737
8794,8693
8850,8759
8846,8683
8990,8727
8878,8806
8909,8760
8899,8801
8923,8737
8872,8803
8877,8665
8899,8798
8929,8701
8911,8743
9012,8692
8896,8754
8935,8739
8930,8740
8980,8680
8938,8736
8967,8727
8981,8734
9059,8709
8949,8792
8976,8701
8978,8887
8965,8884
8956,8747
9042,8693
8921,8786
8994,8693
8960,9100
8958,8779
8968,8780
9859,8717
8961,8754
9005,8755
9068,8706
8951,8725
8919,8670
8993,8724
9024,8708
9064,8725
8972,8669
9031,8722
8999,8704
8975,8710
8965,8899
9008,8678
9057,8881
8945,8658
9055,8721
8976,8681
8972,8786
8996,8694
9024,8739
8956,8753
9064,8699
8980,8748
9001,8752
8964,8727
9020,8732
8952,8695
8981,8726
9620,8724
9516,8706
9424,8748
9055,9335
8944,9050
9116,8732
8999,8741
9162,8719
8928,8707
9009,8705
8983,8713
9014,8669
8998,8740
8993,8668
9012,8748
8954,8689
9009,8801
8997,8711
9012,8698
8953,8710
8971,8729
9007,8735
8978,8847
9016,8714
9014,9002
8946,8914
8977,8911
9014,9811
10027,8979
8912,8961
9029,8975
9315,8874
8983,9404
10204,9058
8999,9154
8984,9113
9066,9147
8991,8676
8963,8719
8993,8692
12011,8679
8973,8891
10313,8666
8759,8788
8790,8674
8979,8765
8899,8767
9037,8737
9000,8827
9027,8794
9034,8857
9057,8786
9056,8901
9043,8826
9130,8829
9049,8888
9640,8863
9098,8845
9106,8804
9172,8856
9194,8866
9106,8877
9751,8877
9089,9192
9079,8841
9103,8860
9128,8915
9160,8848
9039,8878
9167,8869
10555,8943
9094,8902
9169,9218
9064,9314
9303,8841
9174,8943
9457,8783
9176,8915
9153,8858
10003,8947
9313,8881
9125,8889
9131,8936
9147,8881
9826,9013
9142,8785
9118,8968
9149,8900
9997,8937
9158,8894
9085,8942
9267,9324
9210,8823
9101,8908
9210,8876
9140,8946
9168,8839
9732,8985
9118,8917
9099,9127
9091,8918
9891,8858
9072,8898
10091,8917
9065,8917
9171,8854
9177,8959
9096,8869
9197,8907
9069,8863
9106,8901
9717,8933
9912,8901
10055,8882
9042,8880
9262,9104
9141,8893
9466,8928
9132,8918
9124,8863
9113,8906
9130,8851
9115,8914
9160,8906
9139,8913
9725,8904
9104,8838
9146,8949
9149,8885
