no_opt,opt
8701,8763
9046,8795
8744,8738
8785,8838
8733,8697
8701,8730
8733,8708
8688,8945
8736,9060
8736,8710
8722,10022
8756,8692
8692,8866
8783,8714
8684,8817
8745,8883
8742,8813
8742,8747
8791,8715
8682,8722
8749,8703
8693,8749
8758,8698
8684,8769
9070,8693
8775,8800
8743,8776
8692,8708
8719,8733
8702,8692
8738,8795
9134,8688
8740,9872
8775,8694
8751,8707
8710,8909
8888,8740
8733,8729
8754,8689
8701,8800
8775,8747
8696,8743
8710,8698
8805,8735
8832,8744
8742,8713
8709,8755
8731,8718
8703,8722
8707,8725
8701,8827
8743,8729
8699,8766
8708,8711
8725,8726
8725,8948
8707,8766
8750,8853
8730,8695
8796,9368
8714,8794
8854,8721
8731,8752
8818,8718
8706,8906
8793,8749
8771,8790
8711,8676
8761,8755
8712,8715
8757,8807
8713,8717
8709,8961
8696,8750
8735,8725
8738,8714
8806,8723
8708,8719
8738,8723
8716,8734
8709,8755
9330,9217
9569,8708
9012,8761
8876,8802
8781,8795
9183,8705
8751,8753
8742,8701
8727,8710
8723,8809
8805,8748
8668,8712
9111,8715
8742,8751
8753,8719
8718,8719
8692,8702
8775,8751
8671,8720
8745,8764
8726,9023
8814,8709
8786,8705
8780,8730
8736,8707
8693,8719
8746,8698
8708,8731
8732,8693
8684,8915
8708,8710
8743,8716
8716,8700
8683,8750
8706,8815
9068,8802
8777,8930
8900,8970
8870,8723
8689,8746
8734,8960
8672,8708
8770,8714
8690,8786
8741,8742
8728,8717
8732,8748
8744,8720
8692,8736
8908,9039
8714,8753
8765,8982
8781,8800
8685,8695
8735,8736
9092,8702
8928,8725
9233,8757
9214,8715
9461,8729
9365,8859
9493,8731
8872,8737
9953,8834
8935,8854
8912,8805
8778,8691
8705,8784
9579,8686
8701,10022
9082,8725
8728,9274
8792,8719
8714,8715
8753,8756
8720,8682
8694,8696
8757,8703
8701,8778
8711,8752
8724,8696
8807,8732
8693,8742
8706,10145
8754,8747
8702,8736
8723,8702
8698,8736
8902,8743
8740,8724
8716,8741
8702,8790
8696,8718
8792,8770
8671,8739
10476,8707
8681,8840
8762,8814
8879,9820
8702,8778
8784,8685
8700,8764
8744,8695
