no_opt,opt
8255,8286
8275,8324
8251,8271
8266,8287
8238,8686
8288,8312
8253,8252
8366,8333
8309,8979
8406,8348
8841,8339
9385,8293
8359,8316
8265,8267
8291,8724
8255,8309
8341,8342
8280,8239
8255,8633
8311,8231
8404,8281
8310,8279
8280,8617
8338,8766
8880,9861
8353,8298
8292,8279
8953,8255
8306,8278
8311,8252
8243,8258
8450,8363
8238,8242
8427,8306
8253,8238
8600,8240
8275,8294
8304,8266
8288,8286
8741,8575
8469,8319
8310,8235
8373,8296
8268,8265
8257,8428
8258,8227
8226,8421
8221,8258
8299,8277
8243,8225
8289,8575
8270,8231
8308,8313
8259,8230
8492,8370
9084,8293
8591,8247
8402,8245
8235,8248
8264,8247
8301,8284
8776,8246
10749,8292
8374,8234
8278,8286
8298,8251
8264,8265
8238,8298
8297,8267
8233,10396
8381,8391
8232,8258
8461,8314
8310,8234
8270,8264
8267,8247
8269,8260
8323,8237
8241,8230
8239,8258
8294,8263
8254,8246
8284,8271
8220,8245
8333,8703
8229,8259
8547,8342
8274,8245
8326,8227
8268,8213
8296,8265
8285,8213
8278,8302
8256,8221
8309,8285
8286,8238
8279,8292
8247,8253
8278,8319
8302,8263
8235,8288
8275,8267
8286,8291
8294,8221
8269,8586
8239,8262
8284,8293
8249,8271
8277,8249
8240,8565
8239,8536
9049,8254
8260,8312
8321,8242
8243,8314
8465,8523
8462,8257
8299,8441
8741,8270
8252,8496
8399,8292
8212,8252
8249,8360
8248,8335
8242,8259
8252,8228
8251,8233
8215,8263
9355,8228
8234,9403
8548,8345
8230,8220
8273,8301
8259,8325
8268,8315
8271,8304
8238,8266
8258,8220
8258,8269
8225,8243
8285,8337
8273,8264
8288,8892
8272,8255
8261,8408
8302,8221
8258,8396
8304,8246
8487,8294
8521,8264
8306,8276
8254,8252
8301,8316
8422,8249
8283,8300
8347,8300
8356,8253
8307,8238
8350,8267
8338,8265
8330,8277
8340,8240
8297,8234
8282,8282
8320,8261
8361,8306
8328,8242
8287,8240
8467,8269
8217,8268
8316,8281
8291,9452
8312,8279
8294,8419
8598,8293
8211,8271
8459,8257
8250,8484
8994,8254
8269,8262
8389,8300
8228,8216
8490,8295
8310,8218
8318,8294
8272,8238
8336,8239
9058,8245
8376,8225
8298,8250
8240,8281
8394,8251
8237,8312
8423,8212
8296,8335
8273,8257
8413,8302
8288,8227
8335,8250
8268,8279
8326,8257
8316,8294
8299,8257
8317,8289
8429,8245
8351,8278
8922,8301
8225,8349
8329,8267
8289,8267
8967,8254
8256,8320
8513,8249
8349,8281
8347,8249
8284,8267
8316,8261
8365,8270
8317,8277
8282,8256
8369,8257
8288,8262
8333,8249
8309,8417
8372,8255
8411,8441
8229,8246
8350,8277
8300,8334
8328,8218
8274,8890
8370,8250
8306,8421
8416,8215
8308,9629
8363,8304
8286,8543
8379,8257
8309,8478
8342,8266
8376,8317
8276,8234
8337,8449
8368,8260
8312,8305
8305,8387
8346,8409
8360,8220
8371,8261
8409,8396
8349,8272
8395,8236
8293,8255
8364,8244
8306,8242
8308,8362
8945,8238
8254,8315
8325,8265
8304,8251
8321,8273
8312,8252
8293,8275
8313,8422
8332,8231
8325,8352
8286,8278
8425,8441
8282,8298
8650,8220
8298,8280
8393,8244
8304,8276
8310,8349
8353,8294
8375,8253
8265,8252
8359,8214
8309,8280
8321,8221
8333,8269
8287,8227
8322,8270
8309,8288
8311,8281
8587,8251
8567,8262
8586,8245
8308,8710
8315,8544
8323,8276
8333,9249
8441,8488
8252,8463
8315,8277
8300,8231
8309,8250
8298,8290
8630,8231
8317,8693
8560,8290
8231,8432
10414,8336
8570,8258
9064,8321
10880,8383
9802,8308
8329,9304
8348,8234
8551,8261
8392,8259
8275,8260
8259,8237
8381,8226
8504,8263
8661,8221
8288,8308
8326,8222
8383,8320
8354,8273
8344,8555
8319,8298
8382,8310
8371,8268
8340,8271
8300,8254
9018,8483
8476,8252
8308,8415
8402,8231
8337,8304
8519,8232
8321,8423
8411,8306
8376,8266
8392,8317
8512,8257
8339,8268
8370,8277
8399,8244
8387,8286
8344,8240
8370,8282
8312,8563
8340,8334
8373,8271
8416,8267
8378,8253
8362,8249
8369,8272
8357,9091
8336,8564
8412,8413
8340,8440
8683,8417
8369,8266
8413,8257
8369,8345
8376,8281
8394,8244
8343,8291
8437,8246
8327,8716
9304,8619
8306,8880
8419,8417
8335,8806
8433,8349
8404,8301
9416,8232
8440,9109
8535,8234
8484,8273
8751,8224
8553,8248
8336,8308
8398,8680
8380,8318
8386,8284
8399,8242
8387,8290
8400,8434
8432,8267
8397,8340
8366,8234
8391,8313
8370,8250
8381,8288
8432,8267
8331,8469
8385,8256
8366,8297
8418,8256
8387,8302
8373,8267
8367,8281
8392,8283
8447,8496
8569,8276
8656,8239
8534,8309
8517,8233
8396,8296
8283,8234
8482,8301
10663,8265
8380,8247
8229,8262
8293,8251
8287,8277
8438,8259
8255,8253
9325,9593
8366,8334
8255,8308
8247,8219
8378,8251
8245,8262
8339,8291
8245,8244
8338,8316
8378,8250
8693,8319
8375,8245
8272,8267
8363,8294
8243,8247
8311,8423
8283,8743
8424,8308
8315,8241
8252,8272
8268,8265
8543,8236
8500,8251
8658,8235
8280,8295
8411,8252
8317,8283
8409,8248
8273,8294
8270,8275
8406,8264
8406,8384
8891,8315
8533,8239
8290,8247
8341,8299
8464,8246
8322,8244
9171,8343
8292,8262
8322,8345
8272,8217
8259,8311
8288,8222
9587,8294
8705,8224
8255,8277
8336,8290
8229,8257
8282,8248
8232,8249
8357,8251
8227,8402
8297,8567
8270,8717
8323,8319
