no_opt,opt
8239,9020
8304,8937
8257,8944
8275,9682
8268,8993
8381,8994
8283,9017
8366,8998
8247,8967
8336,8983
8297,9125
8294,8935
8264,8916
8262,8942
8408,9059
8319,8949
8354,8998
8247,8974
8582,8976
8478,9150
8375,8915
8379,9166
8550,9112
8376,8919
8361,9002
8312,8985
8390,9026
8224,8962
8377,8983
8240,9340
8300,8980
8217,9075
8217,8951
8265,8946
8230,8999
8330,8964
8222,9035
8629,9013
8257,8972
8285,8988
8288,9026
9268,9005
8336,8948
8353,8992
8289,8988
8344,8982
8273,8975
8369,8984
8278,9024
8368,8986
8280,9002
8390,8947
8636,9333
9033,9551
8677,8864
8924,9508
8966,8946
8915,9098
8764,8975
8886,9021
8610,9029
8669,8987
8802,8966
8475,9018
8453,9016
8336,9370
8669,9007
9159,9182
8383,8846
8298,9031
8347,8981
8660,8992
8405,8992
8437,8971
8460,8968
8504,8979
8438,9977
8283,8910
8370,9261
8331,9005
8361,8979
8343,8971
8516,8966
8339,9060
8493,9014
8346,9035
8334,9017
8373,8977
8351,8989
8346,8985
9344,9007
8316,8945
8343,9020
8319,9375
8351,8978
8464,9456
8262,8971
8383,9003
8363,9009
8450,9035
8243,8964
8369,8956
8343,9245
8347,9005
8319,9011
8373,8974
8296,9087
8699,10209
8330,8896
8321,8999
8352,9017
8335,9045
8322,8955
8345,9016
8355,9969
8328,8907
8335,8966
8354,8998
8440,9055
8282,9058
8399,8965
8339,9035
9837,8996
8284,9291
8454,8924
8356,9084
8485,9002
8323,8958
8549,8967
8414,9006
8380,9432
8317,8981
8347,9085
8302,9011
8417,8990
8433,8986
8384,9015
8890,8983
8581,9032
11291,9005
8852,9345
8432,8934
9272,9041
9758,9018
8937,9001
8401,9014
8710,8956
8241,9187
8300,8737
8295,8776
8300,8916
8443,10328
8272,9111
8647,8962
8363,9045
8913,9008
9168,9000
8633,9013
8284,9044
8492,9010
8450,8983
8289,9028
8379,9027
8254,9014
8351,9013
8232,9098
8428,9005
8296,8994
8688,9015
8246,9028
8269,8980
8267,9048
8699,9028
8249,9032
8300,9027
8241,9098
8239,9007
8239,9039
8241,9019
8232,9247
8289,9050
8264,9003
8293,9054
8343,8943
8347,8998
8311,9026
8250,9042
8305,9003
8273,9185
8331,9094
8259,8956
8320,9041
8262,9067
8358,9022
8230,9023
8439,9050
8257,9502
8269,9067
8218,9027
8277,9012
8261,9030
8256,9027
8281,9023
9290,9046
8392,9012
8237,9056
8373,8985
8343,9053
8385,9059
8299,9003
8390,9102
8339,8942
8313,9129
8273,9037
8445,9014
8307,9058
8340,9958
8336,9089
8584,9030
8411,9089
8369,8993
8304,9039
8563,9023
8320,9031
8415,9029
8314,9028
8294,9085
8389,8985
8327,9058
8419,9002
9197,9027
8326,9025
8300,9030
8549,8989
8691,9035
8360,9098
8341,9001
8438,8978
8221,9053
8235,9010
8306,9029
8265,9025
8450,9141
8255,8932
8277,9124
8253,9691
8354,9030
8394,8991
8618,9023
8618,9019
8443,9033
8237,9082
8315,9090
8246,8964
8307,9038
8241,9010
8277,9045
8295,9037
9757,8978
8420,9101
8262,8999
8278,10415
8254,9055
8260,9032
8266,9202
8325,9056
8265,9043
9751,9024
8333,9092
8248,8998
8238,9522
8251,9129
8253,9007
8336,9066
8233,9013
8324,9083
8276,9004
8250,9032
9511,9032
8253,9008
8343,9055
8261,9025
8325,9034
8332,9005
8368,9067
8299,9005
8378,9027
8251,9075
8314,8983
8286,9062
8513,9028
8357,9131
8349,8990
8326,9081
8339,9054
8337,9027
8416,9409
8428,9035
8318,9294
