no_opt,opt
8237,8387
8257,8225
8279,8259
8303,8295
8292,8255
8259,8425
8251,8240
8292,8345
8329,8284
8310,8241
8270,8309
8294,8225
8412,8339
8283,8228
8258,8293
8278,8274
8500,8292
8311,8268
8313,8263
8310,8264
8236,8252
8390,8275
8361,8278
8288,8302
8235,8242
8306,8277
8267,8242
8300,8338
8228,8319
8293,8275
8258,8259
8261,8354
8278,8239
8260,8264
8306,8267
8245,8238
8329,8457
8262,8271
8651,8290
8252,8237
8277,8347
8285,8249
8339,8419
8230,8234
8283,8798
8233,8267
8656,8847
8231,8250
8269,8265
8286,8945
8301,8291
8288,8483
8270,8281
8296,8284
8239,8246
9746,8336
8308,8260
8448,8334
8263,8280
8346,8274
8228,8278
8362,8289
8257,8270
8291,8264
8255,8305
8270,8265
8257,8621
8224,8289
8317,8330
8230,8242
8326,8388
8229,8223
8314,9535
8260,8359
8253,8320
8253,8406
8284,8314
8291,8412
8243,8428
8303,8770
8294,8376
8277,8317
8275,8253
8287,8326
8257,8248
8294,8265
8261,8255
8312,8237
8262,8381
8272,8219
8314,8385
8233,8272
8339,8329
8232,8234
8273,8306
8268,8237
8262,8487
8252,8230
8324,8292
8247,8239
8350,8324
8227,8303
8367,8384
8258,8517
8276,8254
8289,8287
8284,8329
8287,8408
8245,8288
8320,8287
8282,8262
8271,8299
8272,8277
8267,8259
8263,8300
8334,8227
8249,8301
8299,8241
8291,8302
8354,8275
8500,8304
8304,8303
8270,8244
8269,8232
8333,8307
8266,8234
8274,8369
8225,8237
8666,8353
8286,8248
8398,8253
8264,8350
8457,8243
8254,8429
8305,8244
8287,8378
8268,8277
8280,8272
8251,8287
8333,8244
8307,8289
9108,8275
8447,8251
8386,8277
8248,8258
8278,8261
8348,8262
8237,8228
8310,8305
8239,8233
8324,8348
8231,8224
8246,8379
8283,8247
8242,8272
8264,8265
8277,8269
8246,8296
8671,8240
8227,8255
8373,8293
8243,8252
8365,8264
8265,8293
8251,8297
8273,8304
8267,8247
8432,8374
8270,8284
8254,8235
8236,8279
8359,8289
8244,8232
8269,9880
8244,8326
8273,8271
8822,8281
8649,8230
8441,8305
8233,8233
8412,8375
8278,8233
8453,8425
8228,8228
8499,8295
8252,8277
8323,8318
8332,8266
8241,8545
8348,8278
8246,8287
8313,8299
8237,8273
8287,8286
8287,8262
8258,8318
8298,8258
8247,8745
8280,8254
8229,8338
8263,8293
8487,8227
8302,8300
8283,8237
8336,8396
8225,8258
8331,8318
8239,8278
8327,8297
8234,8236
8332,8268
8240,8268
8255,8801
8275,8236
8469,12410
8316,8264
8314,8260
8262,8514
8319,8323
8264,8246
8304,8269
8279,8322
8254,8273
8283,8394
8267,8275
8295,8254
8253,8350
8282,8235
8241,8360
8266,8241
8277,8309
8256,8262
8312,8259
8230,8268
8323,8296
8225,8263
8362,8431
8264,8228
8244,8335
8302,8288
8287,8288
8227,8313
8298,8297
8243,8275
8315,8486
8234,8298
8827,8321
8296,8296
8266,8277
8325,8279
8242,8295
8346,8262
8248,8292
8430,8322
8296,9795
8283,8986
8247,9536
8318,9043
8265,8905
8256,9915
8284,9056
8394,8921
8686,8912
8246,9457
8383,8978
8283,8870
8319,9353
8294,9147
8300,8977
8317,9003
8266,9550
8227,9098
8335,9058
8228,9967
8291,9819
8244,9362
8267,10131
8265,9157
8243,8949
8325,9375
8249,9098
8294,9056
8375,8431
8625,8410
8894,8443
9467,8508
8395,8377
8222,8420
8331,8505
8371,8441
8274,9246
8258,9327
8421,8452
8259,8359
8290,8568
8229,8364
8267,8490
8238,8384
8415,8656
8230,8584
8459,8524
8284,8555
8279,8501
8259,8616
8439,9237
8291,8448
8244,8309
8275,8500
8291,8323
8716,8588
8329,8287
8420,8373
8285,8316
8277,8500
8262,8468
8374,8448
8305,8432
8230,8371
8314,8486
8240,8298
8291,8409
8268,8307
8326,8347
8235,8329
8271,8561
8223,8372
8358,8336
8225,8284
8328,8330
8228,8366
8358,8458
8308,8879
8280,10671
8342,9089
8240,8511
8304,8424
8240,8395
8415,8852
8277,8330
8249,8373
8299,9396
8271,8400
8270,8382
8382,8351
8326,8370
8340,8301
8286,8376
8360,8440
8277,8317
8264,8360
8270,8289
8261,8386
8246,8448
8258,8350
8502,8322
8260,8263
8299,8417
8234,8324
8347,8337
8244,8656
8264,8454
8307,8847
8263,8339
8289,8572
8238,8346
8264,8366
8257,8307
8314,8494
8269,8344
8297,8333
8272,8290
8313,8510
8222,8347
8653,8350
8281,8419
8354,8360
8572,8323
8373,8345
8343,8404
8230,8331
8323,8308
8225,8262
8369,8433
8250,8328
8331,8365
8248,8437
8414,8346
8342,8297
8275,8289
8325,8403
8227,8273
8324,8380
8264,8314
8270,9119
8257,8318
8270,8373
8234,8316
8295,8378
8235,8293
8380,8292
8230,8938
8337,8400
8293,8402
8249,8259
9670,8621
8293,8309
8359,8351
8226,8356
8469,8332
8248,8265
8444,8415
8288,8286
8241,8398
8314,8322
8286,8368
8237,8316
8269,8268
8249,8361
8260,8306
8336,8361
8289,8782
8334,8481
8229,8467
8303,8698
8268,8316
8285,8509
8231,8354
8243,9243
8283,8323
8237,8460
8328,8260
8252,8514
8258,8390
8246,8376
8303,8265
8343,8645
8308,8311
8279,8317
8610,8364
8358,8361
8236,8483
8287,8305
8244,8367
8346,8313
8238,8348
8301,8270
8263,8495
8276,8341
8262,8277
8246,8371
8262,8550
8258,8327
8277,8267
