no_opt,opt
8505,8347
8513,8339
8570,8345
8414,8342
8499,8619
8478,8301
8522,8392
8511,8344
8439,8365
8517,8324
8521,8372
8526,8334
8496,8355
9138,8355
8516,8360
8541,8356
8486,8298
8606,10093
8490,9914
9495,8558
8417,8263
9010,8411
8453,8425
8568,8593
8513,8313
8518,8421
8584,8391
10049,8347
8724,8384
8439,8409
8513,8354
8457,8380
8586,8377
8598,8284
8507,8804
8546,8347
8541,8342
8471,8392
8511,8440
8529,8349
8524,8417
8513,8359
9043,9306
8506,8351
8441,8673
8535,8670
8547,8435
8483,9159
8542,8613
8473,8950
8652,8450
8471,9778
8514,8991
8489,8865
8534,8439
8479,8549
8528,9273
9063,8346
8458,8386
8671,8605
8504,8994
8552,8307
8507,8415
8487,8392
8509,8564
8497,8414
8480,8458
8544,8494
8559,8608
8505,8515
8524,8315
8473,8479
9131,8341
8456,8373
8465,8351
8552,8414
8521,8370
8498,8555
9266,8261
8478,9149
8488,8310
8563,8800
8418,8436
11337,8317
8302,8347
11858,8363
9528,8426
8259,8433
8302,8384
8228,8396
8374,8418
8232,8375
8445,8428
8238,8375
8300,8417
8246,8358
8292,8557
8307,8565
8271,8357
8316,8446
8349,8393
8287,8395
8410,8363
8319,8402
8406,8400
8358,8412
8399,8375
8373,8434
8340,8438
8395,8473
8381,8422
8424,8490
8364,8396
8381,8446
8384,8522
8358,8451
8435,8403
8358,8455
8425,8466
8519,8408
8404,8436
8419,8459
8392,8518
8408,8468
8384,8402
8387,8460
8423,8737
8382,8610
8788,8816
8370,8448
8451,8992
8457,8660
8437,8376
8426,9424
8417,8495
8422,9491
8423,8444
8401,8460
8633,8381
8372,8860
8408,8483
8413,8556
8433,10459
8428,8583
8432,8915
8920,8312
8383,8470
8355,8339
8334,8388
8415,8416
8421,8412
8479,8414
8458,8376
8445,8408
8520,8433
8493,8439
8529,8378
8501,8441
8514,8418
8484,8400
8515,8438
8490,8482
8523,8390
8507,8473
8491,8399
8495,8393
8556,8425
8493,8406
8553,8387
8494,8419
8522,8452
8483,8440
8475,8449
8645,8417
8615,8456
8450,8413
8482,8461
8711,8427
8430,8436
8594,8414
8485,8394
8514,8403
8504,8424
8486,8414
8543,8414
8519,8524
8552,8425
8519,8447
8545,8429
8473,8401
8488,8504
8497,8427
8620,8351
8549,8466
8512,8383
8507,8690
9367,8316
8511,8504
8541,8377
8536,9190
8517,8520
9606,8441
8432,8590
8562,8378
8508,8455
8555,8581
8507,8716
8531,8372
8562,8587
9202,8698
8522,8788
8507,8378
8525,8528
8498,8497
8499,8687
8482,8423
8515,8770
8478,8390
11755,8478
8271,8443
8268,8454
8302,8443
8332,8426
8281,8501
8279,8407
8370,8601
8267,8422
8380,8468
8493,8424
8349,8417
8249,8399
8269,8533
8250,8431
8251,8393
8273,8402
8327,8468
8285,8434
8307,8459
8271,8401
8290,8442
8390,8492
8247,8419
8328,8430
8581,8411
8282,8390
8242,8430
8278,8425
8278,8360
8286,8439
8268,8428
8266,9396
8258,8465
8315,8387
8248,8458
8418,8411
8272,8408
8798,8384
8242,8559
8309,8249
8239,8258
8292,8257
8232,8333
8308,8308
8274,9144
8939,8275
8393,8365
8258,8352
8273,8381
8271,8343
8447,8498
8287,8335
8631,8428
8533,8376
8264,9784
8295,8399
8242,8351
8270,8402
8266,8364
8262,9301
8260,8316
8245,8483
8242,8338
8265,8420
8312,8379
8274,8339
8255,8365
8278,8389
8355,8412
8268,8359
8283,8342
8250,8374
8270,8406
8319,8378
8245,8375
8326,8417
8232,8356
8331,8404
8231,8386
8328,8393
8223,8399
8357,8381
8262,8399
8401,8406
8243,8366
8286,8408
8243,8400
8282,8409
8269,8346
8284,8417
8261,8380
8282,8379
8232,8389
8320,8403
8230,8361
8322,8515
8227,8332
8330,8416
8289,8363
8316,8576
8289,8328
8284,8356
8268,8395
8266,8414
8342,8391
8251,8469
8281,8372
8235,8427
8284,8417
8226,8392
8279,8400
8295,8405
8421,8508
8273,8336
8273,8439
8302,8395
8376,8410
8285,8386
8288,8513
8230,8412
8317,8395
8251,8375
8468,8419
8376,8432
8248,8381
8330,8405
8247,8415
8312,8383
8276,8403
8428,8419
8243,8370
8289,8409
8249,8381
8261,8427
8220,8381
8315,8380
8219,8383
9709,8366
9370,8359
8673,8452
8309,8367
8276,8474
8285,8364
8304,8357
8289,8415
8260,8354
8294,8396
8298,8391
8250,8374
8251,8379
8243,8407
8274,8373
8304,8397
8248,8397
8288,8401
8256,8399
8525,8415
8295,8410
8306,8378
8264,8363
8316,8444
8265,8441
8459,8418
8240,9540
8254,8273
8276,8439
8566,8376
8312,8392
8294,8405
8386,8431
8222,8393
8288,8406
8236,8377
9100,8421
8435,8399
8284,8428
8276,8403
8293,8451
8310,9490
8673,8251
8217,8487
8333,8360
8274,8423
8429,8357
8347,8385
8386,8391
8397,8356
8348,8391
8392,8349
8383,8363
8417,8388
8399,8343
8422,8399
8411,8334
8421,8424
8382,8398
8446,8362
8387,8421
8474,8344
8390,8508
14208,8362
8325,8383
8245,8352
9065,8385
8269,8409
8332,8338
8235,8354
8262,8354
8277,8369
8282,8374
8272,8361
8261,8393
8294,8330
8246,8436
8297,8374
8239,8378
8319,8394
8279,8348
8307,8627
8279,8264
8258,8405
8240,8416
9250,8393
8266,8384
8582,8477
8258,8442
8306,8385
8241,8399
8261,8413
8262,8408
8308,8383
8264,8379
8331,8438
8263,8362
8289,8449
8267,8296
8289,8247
8256,8319
8283,8299
8303,8534
8305,8454
8304,8508
8235,8386
8650,8428
8532,8428
8293,8437
8269,8457
8372,8501
8293,8428
