no_opt,opt
8862,9019
9032,8722
8945,8748
8899,8717
9113,8760
8865,8690
8976,8873
8892,8787
8947,8768
9015,8794
8963,8682
8871,8743
8965,8679
9021,8758
8947,8675
8877,8769
8969,8761
8905,8739
8972,8903
8887,8751
8884,8737
8959,8699
8943,8746
9009,8787
8862,8729
8942,8753
8901,8762
8933,8747
8928,8783
8919,8725
9317,8975
8876,8707
8991,8795
8897,8810
8917,9044
8872,8779
9111,8747
8906,8774
8868,8723
8956,8780
8930,8770
8971,9897
8868,8703
8938,8939
9338,9698
8892,8720
8976,9501
8892,8760
8949,8888
8946,8942
8947,8821
8925,9068
8878,8806
9002,8832
8854,8782
8990,8722
8911,8854
8915,8769
9236,9009
8868,8759
9312,8797
8884,8763
9097,8776
8918,8762
9343,8800
9033,8763
8990,8782
8938,8830
8879,8764
8958,8802
8877,8827
8959,8772
8922,8883
8950,8786
8945,8773
8954,8753
8955,8802
8900,8862
8929,8739
8975,8961
9077,8745
8985,8898
8875,8727
8951,8832
8916,8832
9579,8821
8956,9029
8980,8802
8990,8847
8951,8808
9022,8845
8953,8774
9307,8913
8932,8880
9280,8860
9051,8771
8910,8772
8955,8812
8927,8811
9013,8796
8935,8753
8971,8848
8953,9951
8953,9024
9111,8901
8971,8766
8993,8767
8941,8798
8899,8837
8961,8835
8996,8744
8987,8800
8945,8830
9041,8839
8945,8781
9361,8808
8901,9226
8914,8760
8974,8723
8973,8829
8953,8737
8954,8819
8943,8762
8961,8795
8963,8787
8929,8813
8994,8807
8955,8777
8911,8786
8941,8786
8971,8775
8947,8823
8927,8790
8962,8776
9217,8796
8923,8815
8986,8778
8868,8850
8954,8748
8916,9014
8935,8740
8944,8846
8918,8807
9013,8775
8917,8831
8924,8803
8953,8799
9023,8775
8938,8793
8929,8809
8924,8773
8986,9003
8905,8698
8916,8827
9201,8771
8977,8793
8890,8792
8896,8942
8949,8942
9462,8711
8941,9042
8968,8733
8947,8845
8955,8777
8923,9060
8947,8930
8950,8774
8925,8784
8937,8809
8999,8821
8881,8786
8940,8792
8972,8814
9096,8914
8895,8887
9114,8757
9215,8829
8995,8779
8919,8804
8892,8804
8989,9190
8919,8821
8955,8761
8945,8884
8978,8758
8908,8842
8983,8820
9536,9173
8899,8704
8920,8695
8974,8717
9020,8691
8961,8715
8973,8720
8929,8768
8933,8688
8947,8763
8920,8781
8962,8690
9361,9048
8894,8820
9533,8855
8904,8706
8984,9169
8923,8710
9136,8789
9184,8821
8910,8711
8997,8742
8942,8813
9024,8694
8930,8720
9166,8761
9259,8696
8895,8748
8973,8698
8931,8768
8979,8772
8922,8863
8993,8719
8943,8697
8911,8755
8975,8684
8966,8745
8941,8723
8956,8776
9092,9039
9021,9434
8983,9144
8973,9003
8858,9289
10727,8676
10186,8800
8707,8715
8829,8751
8979,8678
9048,8723
8912,8753
9145,8680
9341,8773
9655,8686
9170,8740
8907,8720
9029,8702
8915,9025
8999,8763
9493,8776
8929,8729
8869,8756
9009,8778
8993,8800
8960,9026
8950,8773
9012,9011
8915,8788
9296,8849
9011,8805
9421,8839
8907,8871
9026,8760
8953,9009
8952,8773
8934,8850
8960,8811
8940,8846
8974,9193
8958,8731
8992,8979
8946,8805
9394,8861
8998,8841
9653,8975
8900,9149
9014,9410
8996,8929
8937,8799
8969,8848
8918,8841
8996,8847
8977,8854
8949,9099
9343,8898
9004,8779
8928,8864
8946,8833
9121,8855
8987,8830
8999,8850
9140,8830
8921,9424
9784,8832
8927,8817
8938,8982
9034,8783
8913,9348
9179,8848
8884,10855
8980,8887
8957,8805
9018,8771
8931,8708
8987,8843
9029,8713
8978,8727
9007,8723
8957,8726
9033,8745
8932,8699
8972,8748
9022,8705
8968,8804
9047,8705
8985,8709
8962,8762
8944,8701
9020,8826
9162,8723
8917,8797
8986,8700
8987,8990
8932,8686
8977,8916
8972,8776
9221,8837
8937,8739
9016,9196
8944,9702
8984,8707
8950,8809
9121,8780
9094,9107
8973,8778
9230,8806
8931,8824
10104,8871
8888,8763
8990,8888
9159,8979
8928,8799
8946,8899
8947,9792
9012,8817
8983,8937
9042,8831
9048,8865
8921,8887
9092,8915
8884,8870
8948,8844
8984,8894
8962,8854
9017,9222
8920,9096
8974,8979
8957,11453
9005,8985
8952,9109
8990,9074
8967,9461
9005,9229
8963,8922
8964,9228
9013,8911
8973,8961
8915,9037
8945,8977
8996,8697
9437,8730
8882,8659
9033,8769
8884,8685
9011,8754
8950,8986
8971,8729
8963,8808
8934,8719
8975,8785
8978,8734
8979,8894
8942,8776
9006,8810
9866,8739
9006,8786
8907,8912
8990,8771
8960,8917
9044,8748
8958,8823
9056,8731
8933,8712
9079,8700
8959,8748
9019,8745
8983,8729
8992,8715
9010,8705
8968,8673
9096,8685
8908,8890
9094,8724
8922,8708
9157,8879
9081,8721
8891,8931
8978,8725
9001,8720
8964,8692
8999,8774
9060,8702
8967,8741
8968,8705
8976,8735
8974,8675
9038,8746
8910,8815
9396,8659
8976,8753
8972,8701
9016,8799
9027,8679
8985,8753
8979,8700
8961,8706
8993,8741
8904,8722
9015,8956
8984,8717
8961,8811
9234,8735
9529,8675
8914,8853
9029,8941
8962,8819
8950,8719
8966,8793
9022,8706
8909,8714
8933,8704
8958,8703
8955,8738
8938,8983
8969,8926
9164,8694
8973,9726
8952,8735
8960,8807
9049,8670
8921,8840
9330,8769
9172,8705
8677,8757
8734,8676
8837,9099
8960,8701
8917,8745
8983,8699
8955,8899
9006,8688
8899,8731
8958,8739
8974,8701
8968,8770
8993,8681
9010,8704
8942,8736
8957,8835
8930,8714
9005,8754
